startgps,_startgps_latitude,_startgps_longitude,_startgps_altitude,_startgps_precision,supervisor,supe_other,enumerator,enum_other,enumdate,region,district,ward,village,consent,agrodealer_name,hhgps,_hhgps_latitude,_hhgps_longitude,_hhgps_altitude,_hhgps_precision,hhgpsloc,hhgpsloco,phone,p1/p1_stock,p1/p1_brand,p1/p1_size,p1/p1_price,p2/p2_stock,p2/p2_brand,p2/p2_size,p2/p2_price,p3/p3_type,p3/p3_brand,p3/p3_size,p3/p3_price,p4/p4_stock,p4/p4_brand,p4/p4_size,p4/p4_price,p5/p5_stock,p5/p5_size,p5/p5_price,mkt1/yrsinbus,mkt1/neighbors,mkt1/stocksrc,mkt2/beiknown,mkt2/beienf,mkt2/beieffects,g_df/commentf,meta/instanceID,meta/instanceName,_id,_uuid,_submission_time,_date_modified,_tags,_notes,_version,_duration,_submitted_by,_total_media,_media_count,_media_all_received,_xform_id
startgps,_startgps_latitude,_startgps_longitude,_startgps_altitude,_startgps_precision,Supervisor:,Enter supervisor name:,Enumerator:,Enter enumerator name:,What is today's date?,Region,District,Ward,Town / community / village name,Does agrodealer consent to this interview and data collection?,Enter the name of the respondent,GPS coordinates,_hhgps_latitude,_hhgps_longitude,_hhgps_altitude,_hhgps_precision,What location is this?,specify other,Phone number of ${agrodealer_name}:,Do you stock urea?,What brand?,What is the bag size?,What is the price of per bag?,Do you stock DAP?,What brand?,What is the bag size?,What is the price of per bag?,"Type of fertilizer (name, formulation)",What brand?,What is the bag size?,What is the price of per bag?,Do you stock lime?,What brand?,What is the bag size?,What is the price of per bag?,Is cement available in this area?,What is the bag size?,What is the price of per bag?,How long has this shop been in operation?,How many other agrodealers in this locality?,From where does your stock mostly come from?,Do you know the TFRA indicative prices for fertilizers in this area?,Has the indicative price for fertilizers been enforced in this area?,How hass the indicative price for fertilizers affected your business decisions?,"If there are any comments that you would like to add about the data collected in this section, please enter them below.",instanceID,instanceName,_id,_uuid,_submission_time,_date_modified,_tags,_notes,_version,_duration,_submitted_by,_total_media,_media_count,_media_all_received,_xform_id
n/a,n/a,n/a,n/a,n/a,s1,n/a,e01,n/a,2024-08-23T11:12:00.000+03:00,Arusha,Monduli_DC,n/a,Miserani ,1,Simon,-3.4092752 36.4872374 1261.0670166015625 25.147,-3.4092752,36.4872374,1261.0670166015625,25.147,1,n/a,0710909950,0,n/a,2,0,0,n/a,2,0,0,n/a,2,0,0,n/a,2,0,1,3,17000,3,0,Kisongo,n/a,n/a,n/a,Hardware shop.,uuid:a6d59460-d78d-4e00-b790-ab20ee8c5191,TZA_prices_2024-2024-08-23-e01,151911049,a6d59460-d78d-4e00-b790-ab20ee8c5191,2024-08-23T08:29:20.045102+00:00,2024-08-23T08:29:20.179360+00:00,,,1,,,0,0,True,817551
-3.3028476 36.4454515 1286.7999267578125 20.0,-3.3028476,36.4454515,1286.7999267578125,20.0,s1,n/a,e01,n/a,2024-08-23T11:53:00.000+03:00,Arusha,Monduli_DC,Engu toto,Munduli mjini,1,Nsia,-3.3028482 36.4454522 1489.2611083984375 20.0,-3.3028482,36.4454522,1489.2611083984375,20.0,1,n/a,0756460068,0,n/a,2,0,0,n/a,2,0,0,n/a,2,0,0,n/a,2,0,1,3,18500,21,0,Arusha,n/a,n/a,n/a,"Seed Co shop. Used to sell fertiliser.
cement ratio 42.5",uuid:9dab1f43-1ede-44c2-856a-291dc6c48f13,TZA_prices_2024-2024-08-23T11:53:00.000+03:00-e01,151917051,9dab1f43-1ede-44c2-856a-291dc6c48f13,2024-08-23T09:10:12.665315+00:00,2024-08-23T11:11:03.146619+00:00,,,1,,,0,0,True,817551
-3.3008112 36.4461338 1512.699951171875 17.78,-3.3008112,36.4461338,1512.699951171875,17.78,s1,n/a,e01,n/a,2024-08-23T12:20:00.000+03:00,Arusha,Monduli_DC,Munduli mjini,Munduli mjini,1,Gloria Emmanuel,-3.3004914 36.4459742 1512.699951171875 64.1,-3.3004914,36.4459742,1512.699951171875,64.1,1,n/a,0755760038,0,n/a,2,0,0,n/a,2,0,0,n/a,2,0,0,n/a,2,0,1,3,17500,4,5,Arusha mjini,n/a,n/a,n/a,Agro dealer shop. Does not sell fertiliser.,uuid:473cd89a-2526-42f2-bf42-26db29e08418,TZA_prices_2024-2024-08-23-e01,152059190,473cd89a-2526-42f2-bf42-26db29e08418,2024-08-24T07:33:33.175972+00:00,2024-08-24T07:33:33.348359+00:00,,,1,,,0,0,True,817551
-3.3749213 36.698017 1377.0 13.165,-3.3749213,36.698017,1377.0,13.165,s1,n/a,e01,n/a,2024-08-24T10:12:00.000+03:00,Arusha,Arusha_DC,n/a,Kibo palace,1,Nizam,-3.3749648 36.6980006 1377.0 18.394,-3.3749648,36.6980006,1377.0,18.394,1,n/a,0699042590,1,n/a,2,0,1,n/a,2,0,1,CAN,2,0,0,n/a,2,0,1,2,0,10,15,Arusha,n/a,n/a,n/a,Prices are defined by TFRA. Name of shop Minjingu mines and fertilizer Does not know the price of cement.,uuid:d3e2e971-3bd2-43c6-96c8-aec12e03e55e,TZA_prices_2024-2024-08-24-e01,152059193,d3e2e971-3bd2-43c6-96c8-aec12e03e55e,2024-08-24T07:33:33.798476+00:00,2024-08-24T07:33:33.898581+00:00,,,1,,,0,0,True,817551
-3.3720739 36.6886414 1376.699951171875 7.688,-3.3720739,36.6886414,1376.699951171875,7.688,s1,n/a,e01,n/a,2024-08-24T11:53:00.000+03:00,Arusha,Arusha_DC,Kaloleni,Pangani,1,Kilimopesa,-3.3717634 36.6886013 1377.0 19.808,-3.3717634,36.6886013,1377.0,19.808,1,n/a,0658777747,1,ETG,2,12000,1,ETG,2,15000,1,CAN,2,12000,0,n/a,2,0,1,2,0,1,2,Arusha,n/a,n/a,n/a,Prices per 5 kg bags. 5 months in operation.,uuid:1fc83096-249e-4d03-82d8-33915e92761a,TZA_prices_2024-2024-08-24-e01,152075753,1fc83096-249e-4d03-82d8-33915e92761a,2024-08-24T09:01:16.854675+00:00,2024-08-24T09:01:16.966163+00:00,,,1,,,0,0,True,817551
-3.373569 36.6862976 1371.5 15.258,-3.373569,36.6862976,1371.5,15.258,s1,n/a,e01,n/a,2024-08-24T12:09:00.000+03:00,Arusha,Arusha_DC,Bonde nkati,Arusha town,1,Lucy,-3.3736026 36.6862793 1371.5 35.832,-3.3736026,36.6862793,1371.5,35.832,1,n/a,0743777992,1,ETG falcon,3,64096,1,ETG,3,74096,1,CAN,3,54031,0,n/a,2,0,0,2,0,5,7,Arusha,n/a,n/a,n/a,"5kg DAP 15,000
5kg CAN, Urea - 12,000
Sa - 12,000",uuid:7078ba72-21e9-4cdd-88c8-3393705b8ea6,TZA_prices_2024-2024-08-24-e01,152078876,7078ba72-21e9-4cdd-88c8-3393705b8ea6,2024-08-24T09:28:23.969728+00:00,2024-08-24T09:28:24.076738+00:00,,,1,,,0,0,True,817551
-3.3755883 36.6777771 1364.5 14.514,-3.3755883,36.6777771,1364.5,14.514,s1,n/a,e01,n/a,2024-08-24T12:55:00.000+03:00,Arusha,Arusha_DC,Esoo,Arusha town,1,Edna,-3.375589 36.6777735 1364.5 20.1,-3.375589,36.6777735,1364.5,20.1,1,n/a,0766136235,0,n/a,2,0,0,n/a,2,0,0,n/a,2,0,1,n/a,3,17000,0,2,0,90,5,Tanga,n/a,n/a,n/a,Tanganyika Farmers Association,uuid:ec6f01ab-b080-4409-b88d-bd5dc731e373,TZA_prices_2024-2024-08-24-e01,152082289,ec6f01ab-b080-4409-b88d-bd5dc731e373,2024-08-24T09:59:47.173175+00:00,2024-08-24T09:59:47.268893+00:00,,,1,,,0,0,True,817551
-3.3729724 36.684851 1376.5 11.673,-3.3729724,36.684851,1376.5,11.673,s1,n/a,e01,n/a,2024-08-24T13:14:00.000+03:00,Arusha,Arusha_DC,Revolosi,Bella Agro,1,Bella,-3.3729615 36.6848586 1376.5 17.075,-3.3729615,36.6848586,1376.5,17.075,1,n/a,0696922036,1,ETG,3,63933,1,ETG,2,37967,1,CAN,3,58934,0,n/a,2,0,1,2,0,10,2,Arusha,n/a,n/a,n/a,Subsidised prices,uuid:1c6b8dff-643c-4ab9-ac8b-9334681c4221,TZA_prices_2024-2024-08-24-e01,152084601,1c6b8dff-643c-4ab9-ac8b-9334681c4221,2024-08-24T10:22:39.387064+00:00,2024-08-24T10:22:39.482807+00:00,,,1,,,0,0,True,817551
-3.3721759 36.6835609 1382.0999755859375 18.539,-3.3721759,36.6835609,1382.0999755859375,18.539,s1,n/a,e01,n/a,2024-08-24T13:29:00.000+03:00,Arusha,Arusha_City,Levolos,Sabena,1,Freddie,-3.3722165 36.6835183 1381.7999267578125 18.485,-3.3722165,36.6835183,1381.7999267578125,18.485,1,n/a,0766829786,0,n/a,2,0,0,n/a,2,0,0,n/a,2,0,1,Superlime products,2,21000,1,3,18000,15,30,Arusha,n/a,n/a,n/a,"20kg bag  of lime - 15,000",uuid:949c01d4-35e5-4c76-9075-7f27daf7ac55,TZA_prices_2024-2024-08-24-e01,152085928,949c01d4-35e5-4c76-9075-7f27daf7ac55,2024-08-24T10:36:09.310923+00:00,2024-08-24T10:36:09.406093+00:00,,,1,,,0,0,True,817551
